tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
2,0.25,6,1000,100,20,0.0,0.0004728794097900391,760.6136519908905,9.457907057311182,9.203623171086178,3411643
2,0.1,12,250,20,40,0.1,0.0007071495056152344,1360.1554789543152,10.721682646160216,9.757946304356267,6673389
4,0.25,12,250,20,1,0.25,0.0010728120803833007,207.41053104400635,0.2480344989235497,14.526652429912184,26563286
6,0.1,12,500,20,40,0.0,0.0015770435333251954,3337.619830608368,3.42203614035164,7.476892259474715,107022561
2,0.1,8,250,100,20,0.0,0.0004934549331665039,793.5684070587158,10.580515145045753,9.786049087553284,4448791
6,0.1,6,500,100,40,0.0,0.0008551836013793946,3111.206898212433,5.516079089747578,7.516470559014464,53516744
6,0.01,14,750,100,20,0.1,0.0018572092056274414,3919.127811908722,8.985856195883056,9.208410933427736,125074563
6,0.25,6,750,300,1,0.0,0.0008687734603881836,354.1847448348999,0.002641973821712755,18.85032457839499,50907390
4,0.25,8,250,300,20,0.1,0.0007346630096435547,2420.725080728531,6.194402034895493,7.987360001061431,17779144
4,0.01,8,750,20,40,0.1,0.0008110761642456055,1767.1131525039673,14.579212757818272,12.941494977862032,17918255
4,0.25,6,1000,300,40,0.25,0.0006403684616088867,4271.928978204727,10.317642316452474,10.153164193637014,13466509
6,0.1,10,750,300,1,0.25,0.001391291618347168,487.925008058548,0.0026432683168666296,15.712092110350424,87835546
2,0.1,12,250,100,1,0.1,0.0007133722305297851,193.72673106193542,6.569556579881439,10.23120184185491,6671506
2,0.1,12,1000,100,1,0.1,0.0008185625076293946,206.62617826461792,6.348387849918159,10.32998254233049,6821394
2,0.01,10,100,100,20,0.1,0.000573420524597168,947.284961938858,16.567154522827504,14.52927074660757,5540600
4,0.25,6,1000,100,1,0.0,0.0006437540054321289,208.13388061523438,1.0500097501587,14.619378246193788,13411153
4,0.25,14,250,100,20,0.25,0.001228499412536621,2224.8938467502594,6.10778129354934,8.45708401368951,31115367
4,0.1,12,500,100,40,0.0,0.0011043787002563477,4143.5852246284485,6.258619553180605,7.534260531883901,26803532
4,0.1,12,100,300,1,0.25,0.001014852523803711,341.88541054725647,1.2433045543992312,13.242964190743734,26587558
4,0.01,8,100,300,20,0.1,0.000709986686706543,2351.690288543701,13.728301467143842,12.145627250820654,17767671
4,0.01,6,500,20,1,0.0,0.0006035804748535156,180.86171317100525,13.576174356837981,14.499760450242446,13395770
6,0.1,12,500,100,1,0.1,0.0016222238540649415,346.4892601966858,0.002642918170376933,15.755773115170443,105614792
4,0.25,8,100,100,20,0.1,0.0006938457489013671,1262.2928366661072,7.487558042059972,8.763129526302619,17763300
6,0.25,12,1000,100,20,0.1,0.0016998529434204101,3555.7638189792633,1.442021587361518,7.896439706583602,107121047
4,0.25,6,750,300,1,0.1,0.0006234407424926758,259.50255608558655,0.8654809994311297,14.925354210771424,13372893
4,0.1,10,100,100,20,0.1,0.0008831977844238281,1523.886426448822,8.010545167649338,8.475301664113976,22207574
2,0.25,14,250,100,1,0.25,0.0008137702941894531,200.5776243209839,3.545757777595611,10.674978426962735,7780043
2,0.25,14,750,20,20,0.0,0.0009157419204711914,944.3699975013733,8.050400512393358,8.23162728612251,7908674
4,0.25,14,750,100,20,0.0,0.0013224124908447266,2654.071278333664,3.589806581838329,7.386355950795076,31345760
4,0.25,8,1000,300,40,0.1,0.0008289337158203125,5648.407497406006,6.369059421435367,7.473048883293857,17953003
4,0.01,12,250,300,40,0.0,0.0010561704635620116,7138.295704364777,11.341134720623867,10.66328026415633,26676346
6,0.1,10,500,20,40,0.1,0.001343083381652832,2807.91010928154,4.974270753804326,7.591740745349009,89195376
4,0.01,12,500,300,1,0.1,0.001099371910095215,354.1399221420288,8.124631041725042,11.678055136293013,26775430
2,0.1,10,500,20,40,0.25,0.000643157958984375,1215.8817932605743,15.209290886343105,12.608846014791517,5609952
4,0.01,6,500,100,1,0.1,0.0005984067916870117,201.86617946624756,12.246277022393365,13.615714918937796,13392133
2,0.01,6,1000,100,1,0.1,0.00046167373657226565,179.77858471870422,17.484663750513796,16.387751778925733,3411612
2,0.1,8,1000,300,40,0.25,0.000586557388305664,2969.6406574249268,14.550387994074923,12.263598222883616,4549119
2,0.1,12,500,20,40,0.1,0.0007535219192504883,1418.4879500865936,10.619192029722319,9.62367540613302,6732046
2,0.25,12,750,20,40,0.1,0.0007964134216308594,1535.410504102707,9.264520052779886,8.531425288426842,6778859
4,0.01,6,750,20,40,0.0,0.0006184101104736329,1357.961106300354,15.084291479294727,13.74791476237717,13438769
6,0.1,10,250,20,1,0.0,0.0013056516647338868,247.37451171875,0.0044585945779883505,15.814018957314195,88204184
6,0.1,6,750,20,20,0.25,0.0008725166320800781,985.7775535583496,8.813110352701752,10.148691349280035,53601764
6,0.01,14,500,100,1,0.0,0.0018077850341796874,382.0143868923187,2.9783438481864266,12.809914078639947,124146594
4,0.25,6,750,300,40,0.1,0.0006252765655517578,4028.8684980869293,7.43050478148946,8.067445127614315,13436256
2,0.01,12,100,100,1,0.1,0.0006683826446533203,192.60586738586426,15.016854990440969,14.405764370738149,6648459
6,0.01,6,100,20,40,0.0,0.0007857799530029297,1551.4397954940796,13.385482592531334,12.461056799950446,53328345
4,0.01,14,750,300,20,0.25,0.0012892723083496095,4643.060675621033,14.951861403459159,12.98835028203594,31356913
2,0.1,10,250,300,40,0.1,0.0006106376647949218,3178.812094449997,10.264686061985058,9.406308005468054,5561078
